Q23887948	'Ravi Srinivas'
Q63988899	'2014 Indian general election in Gonda Lok Sabha constituency'
Q66132660	'Himanshu Nanda'
Q107086027	'Abhirama Bhanja'
Q662868	'Kangra'
Q63995124	'G.Mallesham Goud'
Q7425841	'Saswata Chatterjee'
Q27734037	'A. C. Solomon Raj'
Q61155733	'Shradhanjali Kanungo'
Q30651	'Kadapa'
Q23772350	'Hari Rajguru'
Q86005856	nan
Q7294974	'Rashmi Gautam'
Q2764967	'Prabodh Pandit'
Q64000091	'Shanti Lal Trivedi'
Q632417	'Archana Deodhar'
Q971245	'Kira'
Q7252726	'Provisional Central Committee, Communist Party of India'
Q5250490	'Deepak Chahar'
Q7280230	'Radhey Shyam Kori'
Q59320651	nan
Q6105387	'J. Desai'
Q22003293	'Sudipto Banerjee'
Q7313573	'Renu Saikia'
Q64001507	'Uma Mageswari.R.T'
Q7237261	'Prabhu Solomon'
Q2544374	'Neem-Ka-Thana'
Q31337077	nan
Q13184238	'Bhandari'
Q21104137	'Pradip Bhattacharya'
Q64626554	'Latika Pradhan'
Q2546396	'Sardarpur'
Q4765560	'Anita Kanwal'
Q9171622	'Bikram Saluja'
Q65222088	'Avtar Singh Ahlawat'
Q808967	'barrister'
Q15528101	'Miryalaguda'
Q5584187	'Gopal Mittal'
Q83322	'Guru Nanak'
Q214485	'Kisumu'
Q23008045	'Om Raut'
Q157808	'Technical University of Munich'
Q18785250	'Subrat Dutta'
Q61686045	'Gangadhara Mohapatra'
Q6350188	'Kalaikunda Air Force Station'
Q105447257	'Fellow of the Institution of Professional Engineers New Zealand'
Q16146294	'Javed Ali'
Q23887496	'Chaudhary Manisha Ashok'
Q23761475	'Melhupra Vero'
Q64002695	'K. P. Yadav'
Q7276257	'RD Mathur'
Q16979866	'Sunil Singh Chauhan'
Q16980167	'S. Rajendran'
Q24565878	'Ram Pujan Patel'
Q4648404	'A. Sivathanu Pillai'
Q16733179	'M. Narmadha'
Q28549857	'Vishnu Solanki'
Q5250519	'Deepak Parashar'
Q50227863	'P Jeganathan'
Q63985722	'Loktantrik Rashrtavadi Party'
Q46107622	'Jainulabdeen'
Q31318610	'Khungangi Chithi'
Q498526	'San José State University'
Q200049	'Ajmer'
Q31330846	nan
Q17634278	'Jitul Sonowal'
Q7294838	'Rasheed Ahmad Siddiqi'
Q14927904	'V. D. Rajappan'
Q18978043	'Anjalie Gupta'
Q12974549	nan
Q3521576	'Kumarakom'
Q31334411	nan
Q21175242	'Shamsheer Singh Manhas'
Q1299	'The Beatles'
Q6401108	'Khayyum'
Q7505942	'Shyam Sunder Rao'
Q65230608	'Jagdev Singh'
Q30120332	'Sonika Roy'
Q98605736	'Kuldeep Kumar Handoo'
Q1902324	'Ashok Shivnani'
Q36946807	'Chhetri'
Q858305	'Eliza'
Q21063341	'Pravin Pote'
Q37137	'contralto'
Q63535977	'1960/1961 Indian Badminton Championships – women\'s singles'
Q80658601	nan
Q4648044	'A. Kanyakumari'
Q98382892	'Toppo'
Q16019489	'N.M. Mohan'
Q1415395	'film industry'
Q64003296	'Kanai Banerjee'
Q8054126	'Yo Mahesh'
Q7102864	'Odisha University of Agriculture and Technology'
Q4647246	'A. M. Paraman'
Q106684216	'2021 Kerala Legislative Assembly election in Vatakara State Assembly constituency'
Q31330350	nan
Q25999620	'Vineeta Bal'
Q7894522	'University B.D.T College of Engineering'
Q2086198	'Thoubal district'
Q5203696	'D. K. Taknet'
Q31333993	nan
